9,읍면동,리,건축면적(제곱미터),주택유형,등급판정결과,관리기관명,관리기관 전화번호,데이터 기준일,위도,경도,주변 편의시설 개수,유동인구,age20,age30,age40,age50,age60,ageEtc,targetAge,price
읍면,풍기읍,동부리,31.16,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,24,46,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",8500
읍면,풍기읍,동부리,66.12,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,21,30,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",8000
읍면,풍기읍,동부리,35.7,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,22,37,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",16200
읍면,풍기읍,동부리,27.77,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,8,12,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",12600
읍면,풍기읍,동부리,,그 외,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,16,45,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",16900
읍면,풍기읍,동부리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,21,33,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",13700
읍면,풍기읍,동부리,30.08,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,29,59,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",17300
읍면,풍기읍,동부리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.878,128.530,24,30,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",7000
읍면,풍기읍,미곡리,99,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.872,128.540,27,11,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",18000
읍면,풍기읍,미곡리,123.97,단독,4등급,경상북도 영주시청,054-639-6944,2025-07-10,36.872,128.540,14,63,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",9900
읍면,풍기읍,미곡리,40.99,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.872,128.540,13,21,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",17800
읍면,풍기읍,미곡리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.872,128.540,1,15,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",8800
읍면,풍기읍,미곡리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.872,128.540,14,9,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",19600
읍면,풍기읍,백리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.874,128.523,4,45,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",8100
읍면,풍기읍,백리,,그 외,36.871,경상북도 영주시청,054-639-6944,2025-07-10,36.874,128.523,4,99,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",12100
읍면,풍기읍,백리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.874,128.523,23,49,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",18600
읍면,풍기읍,백리,69.7,단독,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.874,128.523,3,40,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",9000
읍면,풍기읍,백리,66.12,단독,4등급,경상북도 영주시청,054-639-6944,2025-07-10,36.874,128.523,19,36,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",11200
읍면,풍기읍,백리,26.45,단독,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.874,128.523,29,4,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",12100
읍면,풍기읍,백신리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.871,128.528,4,9,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",16000
읍면,풍기읍,산법리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.868,128.515,18,23,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",16600
읍면,풍기읍,삼가리,15.87,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.865,128.525,12,14,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",11000
읍면,풍기읍,삼가리,18.2,단독,4등급,경상북도 영주시청,054-639-6944,2025-07-10,36.865,128.525,16,10,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",17600
읍면,풍기읍,서부리,117.69,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.876,128.510,23,29,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",13900
읍면,풍기읍,서부리,68.76,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.876,128.510,5,30,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",11500
읍면,풍기읍,서부리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.876,128.510,25,41,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",7100
읍면,풍기읍,서부리,100.04,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.876,128.510,20,3,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",9400
읍면,풍기읍,서부리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.876,128.510,12,8,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",10600
읍면,풍기읍,서부리,93.17,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.876,128.510,6,40,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",8900
읍면,풍기읍,서부리,109.41,단독,4등급,경상북도 영주시청,054-639-6944,2025-07-10,36.876,128.510,24,24,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",14900
읍면,풍기읍,서부리,107.43,단독,4등급,경상북도 영주시청,054-639-6944,2025-07-10,36.876,128.510,26,12,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",14000
읍면,풍기읍,서부리,35.37,단독,4등급,경상북도 영주시청,054-639-6944,2025-07-10,36.876,128.510,2,57,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",18500
읍면,풍기읍,서부리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.876,128.510,19,9,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",11400
읍면,풍기읍,서부리,187.77,그 외,4등급,경상북도 영주시청,054-639-6944,2025-07-10,36.876,128.510,24,6,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",7000
읍면,풍기읍,서부리,141.81,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.876,128.510,1,58,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",20000
읍면,풍기읍,서부리,50.9,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.876,128.510,27,8,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",11500
읍면,풍기읍,서부리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.876,128.510,25,14,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",8700
읍면,풍기읍,서부리,40.69,단독,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.876,128.510,13,23,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",19200
읍면,풍기읍,서부리,81.16,단독,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.876,128.510,6,3,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",9100
읍면,풍기읍,서부리,56.2,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.876,128.510,6,34,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",18800
읍면,풍기읍,성내리,196.7,단독,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.877,128.522,26,11,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",9500
읍면,풍기읍,성내리,90.91,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.877,128.522,23,9,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",11600
읍면,풍기읍,성내리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.877,128.522,18,5,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",14200
읍면,풍기읍,성내리,27.41,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.877,128.522,22,43,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",14900
읍면,풍기읍,성내리,68.36,단독,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.877,128.522,4,12,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",15000
읍면,풍기읍,성내리,42.97,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.877,128.522,22,29,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",17000
읍면,풍기읍,수철리,33.72,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.867,128.545,20,69,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",7700
읍면,풍기읍,수철리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.867,128.545,30,65,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",20000
읍면,풍기읍,욱금리,,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.880,128.535,5,6,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",19400
읍면,풍기읍,전구리,139.51,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.875,128.538,1,1,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",13800
읍면,풍기읍,전구리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.875,128.538,25,9,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",15600
읍면,풍기읍,전구리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.875,128.538,23,63,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",7400
읍면,풍기읍,전구리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.875,128.538,26,10,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",18200
읍면,풍기읍,전구리,52.56,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.875,128.538,8,6,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",13600
읍면,풍기읍,창락리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.869,128.535,11,44,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",18100
읍면,풍기읍,창락리,,그 외,4등급,경상북도 영주시청,054-639-6944,2025-07-10,36.869,128.535,22,50,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",7100
읍면,풍기읍,창락리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.869,128.535,14,11,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",19700
읍면,풍기읍,창락리,43.64,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.869,128.535,29,10,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",9500
읍면,풍기읍,창락리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.869,128.535,25,32,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",10800
읍면,풍기읍,창락리,130.58,단독,4등급,경상북도 영주시청,054-639-6944,2025-07-10,36.869,128.535,3,90,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",18700
읍면,풍기읍,창락리,81.03,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.869,128.535,8,5,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",17500
읍면,풍기읍,창락리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.869,128.535,20,7,11.66,11.7,14.57,23.32,22.43,16.31,"50, 60",17000
읍면,이산면,내림리,46.3,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.870,128.625,16,5,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",13200
읍면,이산면,내림리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.870,128.625,25,63,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",16400
읍면,이산면,내림리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.870,128.625,24,43,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",19800
읍면,이산면,두월리,39.7,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.865,128.635,21,19,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",19700
읍면,이산면,두월리,83.3,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.865,128.635,10,33,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",19000
읍면,이산면,두월리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.865,128.635,2,58,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",11700
읍면,이산면,두월리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.865,128.635,5,80,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",11200
읍면,이산면,두월리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.865,128.635,21,9,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",11000
읍면,이산면,두월리,14.9,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.865,128.635,26,26,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",12200
읍면,이산면,두월리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.865,128.635,29,57,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",16400
읍면,이산면,두월리,165.9,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.865,128.635,8,17,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",14800
읍면,이산면,두월리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.865,128.635,6,21,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",12000
읍면,이산면,석포리,52.9,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.874,128.610,16,33,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",13200
읍면,이산면,석포리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.874,128.610,14,59,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",11300
읍면,이산면,석포리,69.64,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.874,128.610,27,43,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",15700
읍면,이산면,석포리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.874,128.610,21,20,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",16600
읍면,이산면,석포리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.874,128.610,8,30,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",9900
읍면,이산면,석포리,51.9,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.874,128.610,7,8,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",9800
읍면,이산면,신암리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,28,24,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",8100
읍면,이산면,신암리,,그 외,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,30,56,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",16700
읍면,이산면,신암리,50.6,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,17,5,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",15300
읍면,이산면,신암리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,26,50,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",13900
읍면,이산면,신암리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,28,27,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",14800
읍면,이산면,신암리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,11,1,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",8100
읍면,이산면,신암리,33.1,단독,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,10,15,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",18000
읍면,이산면,신암리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,10,19,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",9600
읍면,이산면,신암리,,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,30,47,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",13700
읍면,이산면,신암리,14.5,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,27,8,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",18800
읍면,이산면,신암리,,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,5,13,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",10800
읍면,이산면,신암리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,11,5,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",7400
읍면,이산면,신암리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,30,34,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",18600
읍면,이산면,신천리,82,단독,4등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,18,20,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",19200
읍면,이산면,신천리,94.2,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,21,14,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",18100
읍면,이산면,신천리,178.3,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,14,26,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",18300
읍면,이산면,신천리,,그 외,1등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,20,42,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",15900
읍면,이산면,신천리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,8,26,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",18800
읍면,이산면,신천리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.852,128.620,1,67,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",13500
읍면,이산면,용상리,59.2,단독,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.855,128.630,6,12,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",14500
읍면,이산면,용상리,54.2,단독,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.855,128.630,6,15,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",10800
읍면,이산면,용상리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.855,128.630,3,59,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",17000
읍면,이산면,용상리,,그 외,4등급,경상북도 영주시청,054-639-6944,2025-07-10,36.855,128.630,25,17,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",17900
읍면,이산면,용상리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.855,128.630,19,19,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",12000
읍면,이산면,용상리,,그 외,3등급,경상북도 영주시청,054-639-6944,2025-07-10,36.855,128.630,21,34,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",11800
읍면,이산면,용상리,,그 외,2등급,경상북도 영주시청,054-639-6944,2025-07-10,36.855,128.630,9,13,7.84,10.1,14.99,27.47,26.83,12.76,"50, 60",7200
